[2026-01-22 16:22:48] ============================================================
[2026-01-22 16:22:48] Updater started
[2026-01-22 16:22:48] Download URL: https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe
[2026-01-22 16:22:48] Target EXE: C:\Scr\TVL\dist\PreservationApp.exe
[2026-01-22 16:22:48] Version: 1.0.0
[2026-01-22 16:22:48] Expected SHA256: 758B2000587DBDE3...
[2026-01-22 16:22:48] Waiting for PreservationApp.exe to exit...
[2026-01-22 16:22:49] PreservationApp.exe has exited
[2026-01-22 16:22:50] Backup created: C:\Scr\TVL\dist\PreservationApp.exe.backup
[2026-01-22 16:22:50] Downloading from https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe...
[2026-01-22 16:23:08] Downloaded 17367040/39971592 bytes (43.4%)
[2026-01-22 16:23:08] Downloaded 17448960/39971592 bytes (43.7%)
[2026-01-22 16:23:09] Downloaded 17530880/39971592 bytes (43.9%)
[2026-01-22 16:23:09] Downloaded 17612800/39971592 bytes (44.1%)
[2026-01-22 16:23:09] Downloaded 17694720/39971592 bytes (44.3%)
[2026-01-22 16:23:09] Downloaded 17776640/39971592 bytes (44.5%)
[2026-01-22 16:23:09] Downloaded 17858560/39971592 bytes (44.7%)
[2026-01-22 16:23:09] Downloaded 17940480/39971592 bytes (44.9%)
[2026-01-22 16:23:09] Downloaded 18022400/39971592 bytes (45.1%)
[2026-01-22 16:23:09] Downloaded 18104320/39971592 bytes (45.3%)
[2026-01-22 16:23:09] Downloaded 18186240/39971592 bytes (45.5%)
[2026-01-22 16:23:09] Downloaded 18268160/39971592 bytes (45.7%)
[2026-01-22 16:23:09] Downloaded 18350080/39971592 bytes (45.9%)
[2026-01-22 16:23:09] Downloaded 18432000/39971592 bytes (46.1%)
[2026-01-22 16:23:09] Downloaded 18513920/39971592 bytes (46.3%)
[2026-01-22 16:23:09] Downloaded 18595840/39971592 bytes (46.5%)
[2026-01-22 16:23:10] Downloaded 18677760/39971592 bytes (46.7%)
[2026-01-22 16:23:10] Downloaded 18759680/39971592 bytes (46.9%)
[2026-01-22 16:23:10] Downloaded 18841600/39971592 bytes (47.1%)
[2026-01-22 16:23:10] Downloaded 18923520/39971592 bytes (47.3%)
[2026-01-22 16:23:10] Downloaded 19005440/39971592 bytes (47.5%)
[2026-01-22 16:23:10] Downloaded 19087360/39971592 bytes (47.8%)
[2026-01-22 16:23:10] Downloaded 19169280/39971592 bytes (48.0%)
[2026-01-22 16:23:10] Downloaded 19251200/39971592 bytes (48.2%)
[2026-01-22 16:23:10] Downloaded 19333120/39971592 bytes (48.4%)
[2026-01-22 16:23:10] Downloaded 19415040/39971592 bytes (48.6%)
[2026-01-22 16:23:10] Downloaded 19496960/39971592 bytes (48.8%)
[2026-01-22 16:23:10] Downloaded 19578880/39971592 bytes (49.0%)
[2026-01-22 16:23:10] Downloaded 19660800/39971592 bytes (49.2%)
[2026-01-22 16:23:10] Downloaded 19742720/39971592 bytes (49.4%)
[2026-01-22 16:23:10] Downloaded 19824640/39971592 bytes (49.6%)
[2026-01-22 16:23:11] Downloaded 19906560/39971592 bytes (49.8%)
[2026-01-22 16:23:11] Downloaded 19988480/39971592 bytes (50.0%)
[2026-01-22 16:23:11] Downloaded 20070400/39971592 bytes (50.2%)
[2026-01-22 16:23:11] Downloaded 20152320/39971592 bytes (50.4%)
[2026-01-22 16:23:11] Downloaded 20234240/39971592 bytes (50.6%)
[2026-01-22 16:23:11] Downloaded 20316160/39971592 bytes (50.8%)
[2026-01-22 16:23:11] Downloaded 20398080/39971592 bytes (51.0%)
[2026-01-22 16:23:11] Downloaded 20480000/39971592 bytes (51.2%)
[2026-01-22 16:23:11] Downloaded 20561920/39971592 bytes (51.4%)
[2026-01-22 16:23:11] Downloaded 20643840/39971592 bytes (51.6%)
[2026-01-22 16:23:11] Downloaded 20725760/39971592 bytes (51.9%)
[2026-01-22 16:23:11] Downloaded 20807680/39971592 bytes (52.1%)
[2026-01-22 16:23:11] Downloaded 20889600/39971592 bytes (52.3%)
[2026-01-22 16:23:11] Downloaded 20971520/39971592 bytes (52.5%)
[2026-01-22 16:23:11] Downloaded 21053440/39971592 bytes (52.7%)
[2026-01-22 16:23:11] Downloaded 21135360/39971592 bytes (52.9%)
[2026-01-22 16:23:11] Downloaded 21217280/39971592 bytes (53.1%)
